date,fund_name,amc,category,isin,company,sector,pct_nav,market_value
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE002A01018,Reliance Industries Ltd,Energy,9.2745,1765.59
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE009A01021,Infosys Ltd,IT,8.506,1619.29
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE238A01034,Axis Bank Ltd,Financials,5.8695,1117.38
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE467B01029,Tata Consultancy Services Ltd,IT,5.3939,1026.84
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE397D01024,Bharti Airtel Ltd,Telecom,5.1738,984.94
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE030A01027,Hindustan Unilever Ltd,Consumer,5.0135,954.42
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE154A01025,ITC Ltd,Consumer,4.4885,854.48
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE585B01010,Maruti Suzuki India Ltd,Auto,4.3666,831.27
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE860A01027,HCL Technologies Ltd,IT,4.3206,822.51
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE044A01036,Sun Pharmaceutical Industries Ltd,Healthcare,4.0515,771.28
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE101A01026,Mahindra & Mahindra Ltd,Auto,3.164,602.33
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,CASH_EQV,Cash and Equivalents,Cash and Equivalents,2.9917,569.53
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE669C01036,Tech Mahindra Ltd,IT,2.9885,568.92
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE481G01011,UltraTech Cement Ltd,Materials,2.93,557.78
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE155A01022,Tata Motors Ltd,Auto,2.8839,549.01
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE752E01010,Power Grid Corporation of India Ltd,Utilities,2.4596,468.23
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE522F01014,Coal India Ltd,Energy,2.2844,434.88
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE361B01024,Divi Laboratories Ltd,Healthcare,2.1001,399.8
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE158A01026,Hero MotoCorp Ltd,Auto,1.6513,314.36
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE216A01030,Britannia Industries Ltd,Consumer,1.5564,296.29
